Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
B6,4/22/2021,312,N346JB,BOS,10:24,10:07,136,132,-17,10:22,15,0,0,0,0,0
B6,4/22/2021,563,N971JT,FLL,6:25,6:23,192,170,-2,6:36,13,0,0,0,0,0
B6,4/22/2021,1106,N283JB,JFK,13:30,13:24,129,113,-6,13:34,10,0,0,0,0,0
B6,4/23/2021,312,N184JB,BOS,10:24,11:05,136,122,41,11:17,12,6,0,0,0,21
B6,4/23/2021,563,N999JQ,FLL,6:25,6:20,192,167,-5,6:36,16,0,0,0,0,0
B6,4/23/2021,1106,N294JB,JFK,13:30,13:21,129,103,-9,13:31,10,0,0,0,0,0
B6,4/24/2021,312,N231JB,BOS,10:24,10:32,136,127,8,10:47,15,0,0,0,0,0
B6,4/24/2021,563,N952JB,FLL,6:25,6:16,192,175,-9,6:30,14,0,0,0,0,0
B6,4/24/2021,1106,N309JB,JFK,13:30,13:23,129,115,-7,13:34,11,0,0,0,0,0
B6,4/25/2021,312,N184JB,BOS,10:24,10:03,136,131,-21,10:14,11,0,0,0,0,0
B6,4/25/2021,563,N952JB,FLL,6:25,6:19,192,174,-6,6:32,13,0,0,0,0,0
B6,4/25/2021,1106,N192JB,JFK,13:30,14:38,129,117,68,14:53,15,15,0,0,0,41
B6,4/26/2021,312,N236JB,BOS,10:24,10:12,136,119,-12,10:22,10,0,0,0,0,0
B6,4/26/2021,563,N952JB,FLL,6:25,6:16,192,168,-9,6:31,15,0,0,0,0,0
B6,4/26/2021,1106,N190JB,JFK,13:30,14:14,129,107,44,14:23,9,11,0,0,0,11
B6,4/27/2021,563,N994JL,FLL,6:25,6:19,192,157,-6,6:32,13,0,0,0,0,0
B6,4/29/2021,312,N346JB,BOS,10:24,10:21,136,114,-3,10:30,9,0,0,0,0,0
B6,4/29/2021,563,N970JB,FLL,6:25,6:20,192,176,-5,6:33,13,0,0,0,0,0
B6,4/29/2021,1106,N354JB,JFK,13:30,13:19,129,119,-11,13:29,10,0,0,0,0,0
B6,4/30/2021,312,N309JB,BOS,10:24,10:16,136,121,-8,10:28,12,0,0,0,0,0
B6,4/30/2021,563,N970JB,FLL,6:25,6:16,192,169,-9,6:29,13,0,0,0,0,0
B6,4/30/2021,1106,N203JB,JFK,13:30,13:25,129,108,-5,13:35,10,0,0,0,0,0
B6,5/1/2021,312,N337JB,BOS,11:50,12:55,136,126,65,13:09,14,17,0,0,0,38
B6,5/1/2021,563,N957JB,FLL,6:25,6:24,192,165,-1,6:37,13,0,0,0,0,0
B6,5/1/2021,1106,N294JB,JFK,13:30,13:29,129,115,-1,13:43,14,0,0,0,0,0
B6,5/2/2021,312,N294JB,BOS,11:50,11:38,136,114,-12,11:48,10,0,0,0,0,0
B6,5/2/2021,563,N959JB,FLL,6:25,6:14,192,179,-11,6:33,19,0,0,0,0,0
B6,5/2/2021,1106,N203JB,JFK,13:30,13:18,129,121,-12,13:31,13,0,0,0,0,0
B6,5/3/2021,312,N284JB,BOS,11:50,11:40,136,127,-10,11:52,12,0,0,0,0,0
B6,5/3/2021,563,N959JB,FLL,6:25,6:12,192,188,-13,6:27,15,0,0,0,0,0
B6,5/3/2021,1106,N203JB,JFK,13:30,13:14,129,120,-16,13:24,10,0,0,0,0,0
B6,5/4/2021,563,N966JT,FLL,6:25,6:21,192,180,-4,6:36,15,0,0,0,0,0
B6,5/6/2021,312,N618JB,BOS,11:50,11:50,141,132,0,12:02,12,0,0,0,0,0
B6,5/6/2021,563,N570JB,FLL,6:25,6:21,189,175,-4,6:34,13,0,0,0,0,0
