Date,MaxT,MinT,AvgT,Tdeparture,HDD,CDD,Precipitation,New Snow,Snow Depth
9/10/2021,81,60,70.5,0.4,0,6,0,0,0
9/11/2021,88,66,77,7.2,0,12,0,0,0
9/12/2021,90,71,80.5,11.1,0,16,0,0,0
9/13/2021,90,71,80.5,11.4,0,16,0,0,0
9/14/2021,88,67,77.5,8.8,0,13,0,0,0
9/15/2021,79,61,70,1.7,0,5,0,0,0
9/16/2021,83,59,71,3.1,0,6,0,0,0
9/17/2021,90,65,77.5,10,0,13,0.07,0,0
9/18/2021,77,69,73,5.9,0,8,0,0,0
9/19/2021,90,67,78.5,11.8,0,14,0,0,0
9/20/2021,84,71,77.5,11.2,0,13,T,0,0
9/21/2021,76,61,68.5,2.6,0,4,0.3,0,0
9/22/2021,63,56,59.5,-6,5,0,0.33,0,0
9/23/2021,69,53,61,-4.1,4,0,0,0,0
9/24/2021,80,52,66,1.4,0,1,0.15,0,0
9/25/2021,71,50,60.5,-3.7,4,0,T,0,0
9/26/2021,84,56,70,6.2,0,5,0,0,0
9/27/2021,88,65,76.5,13.2,0,12,0,0,0
9/28/2021,73,63,68,5.1,0,3,0,0,0
9/29/2021,81,60,70.5,8,0,6,0,0,0
9/30/2021,81,60,70.5,8.5,0,6,0,0,0
10/1/2021,86,62,74,12.4,0,9,0,0,0
10/2/2021,82,69,75.5,14.3,0,11,0.05,0,0
10/3/2021,79,67,73,12.3,0,8,0.02,0,0
10/4/2021,73,65,69,8.7,0,4,T,0,0
10/5/2021,69,66,67.5,7.7,0,3,0,0,0
10/6/2021,69,65,67,7.6,0,2,T,0,0
10/7/2021,75,67,71,12,0,6,0.66,0,0
10/8/2021,76,63,69.5,10.9,0,5,T,0,0
10/9/2021,82,64,73,14.9,0,8,0.01,0,0
10/10/2021,84,72,78,20.3,0,13,T,0,0
10/11/2021,80,63,71.5,14.2,0,7,1.64,0,0
10/12/2021,66,56,61,4.1,4,0,0.03,0,0
10/13/2021,74,53,63.5,7,1,0,0.47,0,0
10/14/2021,71,60,65.5,9.5,0,1,0.15,0,0
10/15/2021,64,52,58,2.4,7,0,0.02,0,0
10/16/2021,60,44,52,-3.2,13,0,0,0,0
10/17/2021,67,42,54.5,-0.3,10,0,0,0,0
10/18/2021,72,45,58.5,4.1,6,0,0,0,0
10/19/2021,73,52,62.5,8.5,2,0,0,0,0
